id,id_grupo,categoria,tipo_producto,titulo,pais_revista,revista,ano,autores,ISSN,tipologia,cuartil_scimago,categoria_publindex,ano_fuente_cuartil,ano_fuente_publindex
00301,002,Artículos publicados,Publicado en revista especializada,Reasentamiento y reubicación en la gestión del riesgo de desastres en el Caribe de Colombia,Colombia,REVISTA CES DERECHO,2025,"LEIDYS HELENA RIVERA QUIROZ, JORGE EDUARDO VASQUEZ SANTAMARIA",21457719,1,No indexada en Scopus,C,,2023
00302,002,Artículos publicados,Publicado en revista especializada,"Opinión pública y legitimidad: abordaje a la democracia colombiana, disponible en: https://revistas.upb.edu.co/index.php/analecta/article/view/opinion_publica_y_legitimidad",Colombia,ANALECTA POLITICA,2025,"DANY STEVEN GOMEZ AGUDELO, JORGE ANDRES RICO ZAPATA, SEBASTIAN DIAZ BOLIVAR",23900067,1,No indexada en Scopus,No clasificada en Publindex,,
01129,007,Artículos publicados,Publicado en revista especializada,Efectos del ejercicio físico en el proceso de rehabilitación de las personas con adicciones al consumo de sustancias psicoactivas,Colombia,REVISTA IBEROAMERICANA DE CIENCIAS DE LA ACTIVIDAD FISICA Y EL DEPORTE,2025,"SIMON BUSTAMANTE VELASQUEZ, CAROLINA VASQUEZ LOPEZ",22550461,1,No indexada en Scopus,No clasificada en Publindex,,
00009,001,Artículos publicados,Publicado en revista especializada,Humanizar el trabajo de investigación en la formación posgradual en tiempos de la inteligencia artificial,Chile,REVISTA GESTION DE LAS PERSONAS Y TECNOLOGIA,2025,"ALEXANDER RODRIGUEZ BUSTAMANTE, LUIS FERNANDO CARDONA PALACIO, RUBEN DARIO HERNANDEZ ESCORCIA, JOSE FEDERICO AGUDELO TORRES",07185693,1,No indexada en Scopus,No clasificada en Publindex,,
00010,001,Artículos publicados,Publicado en revista especializada,¿Qué saben los estudiantes y docentes de pregrado de carreras orientadas al estudio de las TIC sobre la interactividad y cómo afecta su formación académica? Estudio de caso en la Universidad Católica Luis Amigó,Colombia,CUADERNO ACTIVA,2025,LINA MARIA MONTOYA SUAREZ,20278101,1,No indexada en Scopus,C,,2017
00011,001,Artículos publicados,Publicado en revista especializada,Modelo generalizado para determinar la velocidad del sonido en hidrocarburos,Colombia,INFORMACION TECNOLOGICA,2025,"JOSE O VALDERRAMA, LUIS FERNANDO CARDONA PALACIO",07180764,1,En Scopus sin cuartil,A2,2021,2022
00012,001,Artículos publicados,Publicado en revista especializada,"Experimental Data of VLLE, and Dynamic Viscosity for Furfural + Undecane and Furfural + Pentane Systems and Their Application to Process Simulation",Colombia,JOURNAL OF CHEMICAL AND ENGINEERING DATA,2025,"JORGE ALBERTO VELASQUEZ JIMENEZ, JORGE HERNAN SANCHEZ TORO, LUIS FERNANDO CARDONA PALACIO, LUIS ALEJANDRO FORERO GAVIRIA",15205134,1,Q2,A1,2025,2022
00013,001,Artículos publicados,Publicado en revista especializada,Exploring students¿ lived experiences with artificial intelligence in higher education: A case study of ChatGPT,Sudáfrica,PERSPECTIVES IN EDUCATION,2025,"VICTOR DANIEL GIL VERA, CATALINA QUINTERO LOPEZ",2519593X,1,No indexada en Scopus,No clasificada en Publindex,,
00014,001,Artículos publicados,Publicado en revista especializada,El papel de la interactividad en la formación académica de Ingenieros de sistemas: Un análisis de estudio de caso en la Universidad Católica Luis Amigó,Colombia,Ingenierías USBMed,2025,"JAIME ALBERTO VILLA LOPERA, LINA MARIA MONTOYA SUAREZ, MARIA JULIA NIETO CALLEJAS, LESLIE MILENA ARRUBLA VALENCIA",20275846,1,No indexada en Scopus,C,,2023
01256,008,Artículos publicados,Publicado en revista especializada,Relaciones entre agresión y empatía parental: efectos sobre las mismas variables en jóvenes infractores,Colombia,REVISTA CRIMINALIDAD,2025,"ANYERSON STITHS GOMEZ TABARES, JORGE EMIRO RESTREPO CARVAJAL, SERGIO ANDRES ACOSTA TOBON",22565531,1,Q3,C,2025,2023
